baseline,corrupted_baseline,edges,total_edges,edges_EAP,loss_EAP,edges_EAP-IG,loss_EAP-IG,edges_EAP-IG-KL,loss_EAP-IG-KL
0.2863328456878662,-0.15228907763957977,100,2235025,0,-0.15228904783725739,0,-0.15228904783725739,9,-0.1480809450149536
0.2863328456878662,-0.15228907763957977,9030,2235025,8050,-0.11100989580154419,8207,-0.06927502155303955,8591,-0.012325240299105644
0.2863328456878662,-0.15228907763957977,17960,2235025,17106,-0.03671491518616676,17189,-0.0023771824780851603,17516,0.07981603592634201
0.2863328456878662,-0.15228907763957977,26890,2235025,26359,0.04111344739794731,26398,0.07134499400854111,26493,0.1457049399614334
0.2863328456878662,-0.15228907763957977,35820,2235025,35385,0.10296301543712616,35436,0.13622190058231354,35466,0.20285092294216156
0.2863328456878662,-0.15228907763957977,44750,2235025,44381,0.14616967737674713,44409,0.17455418407917023,44417,0.2292078584432602
0.2863328456878662,-0.15228907763957977,53680,2235025,53383,0.17937234044075012,53382,0.19794517755508423,53377,0.2535117566585541
0.2863328456878662,-0.15228907763957977,62610,2235025,62370,0.2010883390903473,62377,0.22613625228405,62325,0.26071247458457947
0.2863328456878662,-0.15228907763957977,71540,2235025,71357,0.21935221552848816,71329,0.240478515625,71281,0.26971617341041565
0.2863328456878662,-0.15228907763957977,80470,2235025,80297,0.2286965399980545,80314,0.2501310110092163,80250,0.27388736605644226
0.2863328456878662,-0.15228907763957977,89400,2235025,89250,0.23954540491104126,89272,0.2554994523525238,89177,0.2785836458206177
